student_id,email,first_name,last_name,signup_ts,source_system
S0001,student1@gmail.com,Ava,Jones,2025-10-04 04:16:48,lms_canvas
S0002,student2@gmail.com,Amelia,Miller,2026-01-21 11:19:48,lms_canvas
S0003,student3@yahoo.com,Mason,Smith,2025-04-25 04:39:48,lms_moodle
S0004,student4@yahoo.com,Ethan,Jones,2026-02-03 05:40:48,lms_moodle
S0005,student5@outlook.com,Olivia,Williams,2025-10-19 01:18:48,lms_canvas
S0006,student6@example.com,Noah,Garcia,2025-08-13 16:08:48,lms_canvas
S0007,student7@example.com,Mason,Johnson,2025-07-28 08:49:48,lms_moodle
S0008,student8@outlook.com,Amelia,Brown,2026-01-02 09:42:48,lms_canvas
S0009,student9@outlook.com,Noah,Brown,2025-12-16 23:07:48,lms_moodle
S0010,student10@outlook.com,Liam,Garcia,2025-08-09 04:42:48,lms_moodle
S0011,student11@gmail.com,Amelia,Williams,2025-05-08 12:09:48,lms_canvas
S0012,student12@example.com,Sophia,Jones,2025-04-27 03:41:48,lms_moodle
S0013,student13@gmail.com,Emma,Smith,2025-08-28 23:07:48,lms_canvas
S0014,student14@yahoo.com,Amelia,Garcia,2025-10-20 14:53:48,lms_moodle
S0015,student15@example.com,Liam,Jones,2025-11-27 03:37:48,lms_moodle
S0016,student16@example.com,Amelia,Miller,2025-08-05 04:16:48,lms_moodle
S0017,student17@gmail.com,Ava,Johnson,2025-11-19 15:14:48,lms_moodle
S0018,student18@gmail.com,Sophia,Miller,2025-06-11 19:08:48,lms_canvas
S0019,student19@gmail.com,Mason,Jones,2025-08-16 08:06:48,lms_moodle
S0020,student20@yahoo.com,Ethan,Smith,2025-09-24 18:36:48,lms_canvas
S0021,student21@gmail.com,Olivia,Brown,2025-11-19 23:36:48,lms_canvas
S0022,student22@gmail.com,Amelia,Garcia,2025-06-01 11:17:48,lms_moodle
S0023,student23@outlook.com,Emma,Smith,2025-10-05 17:19:48,lms_canvas
S0024,student24@example.com,Noah,Williams,2025-12-02 13:54:48,lms_canvas
S0025,student25@outlook.com,Mason,Miller,2025-10-20 17:36:48,lms_canvas
S0026,student26@outlook.com,Sophia,Garcia,2025-06-26 18:56:48,lms_canvas
S0027,student27@yahoo.com,Emma,Johnson,2025-08-17 10:47:48,lms_canvas
S0028,student28@yahoo.com,Ava,Johnson,2026-01-07 04:20:48,lms_canvas
S0029,student29@outlook.com,Noah,Brown,2025-09-16 13:53:48,lms_canvas
S0030,student30@yahoo.com,Amelia,Davis,2025-10-04 19:33:48,lms_moodle
S0031,student31@yahoo.com,Noah,Johnson,2025-06-30 23:57:48,lms_moodle
S0032,student32@example.com,Ava,Johnson,2026-01-05 22:38:48,lms_moodle
S0033,student33@gmail.com,Emma,Brown,2025-10-31 17:56:48,lms_canvas
S0034,student34@example.com,Liam,Jones,2025-06-15 03:29:48,lms_canvas
S0035,student35@example.com,Mason,Johnson,2026-01-11 14:50:48,lms_canvas
S0036,student36@gmail.com,Emma,Williams,2025-07-12 19:54:48,lms_canvas
S0037,student37@example.com,Ava,Williams,2025-07-27 11:00:48,lms_moodle
S0038,student38@example.com,Olivia,Miller,2025-04-27 13:39:48,lms_moodle
